locus_tag	ftype	length_bp	gene	EC_number	COG	product
CPJADAKE_00053	CDS	900				hypothetical protein
CPJADAKE_00054	CDS	1275	serS	6.1.1.11		Serine--tRNA ligase
CPJADAKE_00055	CDS	372				hypothetical protein
CPJADAKE_00056	CDS	1365	yclM	2.7.2.4	COG0527	Aspartokinase 3
CPJADAKE_00057	CDS	786	fabM	5.3.3.14	COG1024	Trans-2-decenoyl-[acyl-carrier-protein] isomerase
CPJADAKE_00058	CDS	435				hypothetical protein
CPJADAKE_00059	CDS	975	fabH	2.3.1.180		3-oxoacyl-[acyl-carrier-protein] synthase 3
CPJADAKE_00060	CDS	225	acpA		COG0236	Acyl carrier protein
CPJADAKE_00061	CDS	975		1.6.5.11	COG2070	NADH:quinone reductase
CPJADAKE_00062	CDS	921	fabD	2.3.1.39	COG0331	Malonyl CoA-acyl carrier protein transacylase
CPJADAKE_00063	CDS	732	fabG	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
CPJADAKE_00064	CDS	1236	fabF	2.3.1.179		3-oxoacyl-[acyl-carrier-protein] synthase 2
CPJADAKE_00065	CDS	486	accB			Biotin carboxyl carrier protein of acetyl-CoA carboxylase
CPJADAKE_00066	CDS	423	fabZ	4.2.1.59	COG0764	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ
CPJADAKE_00067	CDS	1368	accC	6.3.4.14	COG0439	Biotin carboxylase
CPJADAKE_00068	CDS	867	accD	2.1.3.15	COG0777	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta
CPJADAKE_00069	CDS	768	accA	2.1.3.15	COG0825	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha
CPJADAKE_00070	CDS	186				hypothetical protein
CPJADAKE_00071	CDS	339				hypothetical protein
CPJADAKE_00072	CDS	270				hypothetical protein
CPJADAKE_00073	CDS	423	nusB		COG0781	Transcription antitermination protein NusB
CPJADAKE_00074	CDS	390				putative protein
CPJADAKE_00075	CDS	561	efp			Elongation factor P
CPJADAKE_00076	CDS	1443	gatB	6.3.5.-	COG0064	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B
CPJADAKE_00077	CDS	1467	gatA	6.3.5.7	COG0154	Glutamyl-tRNA(Gln) amidotransferase subunit A
CPJADAKE_00078	CDS	303	gatC_1	6.3.5.-	COG0721	Glutamyl-tRNA(Gln) amidotransferase subunit C
CPJADAKE_00079	CDS	1545	prfC			Peptide chain release factor 3
CPJADAKE_00080	CDS	486	glyE			Glycosyltransferase GlyE
CPJADAKE_00081	CDS	189	rpmB		COG0227	50S ribosomal protein L28
CPJADAKE_00082	CDS	366				putative protein
CPJADAKE_00083	CDS	1668				putative protein
CPJADAKE_00084	CDS	1701	ilvB	2.2.1.6	COG0028	Acetolactate synthase large subunit
CPJADAKE_00085	CDS	477	ilvH	2.2.1.6	COG0440	Putative acetolactate synthase small subunit
CPJADAKE_00086	CDS	1023	ilvC	1.1.1.86	COG0059	Ketol-acid reductoisomerase (NADP(+))
CPJADAKE_00087	CDS	237				hypothetical protein
CPJADAKE_00088	CDS	357				hypothetical protein
CPJADAKE_00089	CDS	1251	ilvA	4.3.1.19	COG1171	L-threonine dehydratase biosynthetic IlvA
CPJADAKE_00090	CDS	216				hypothetical protein
CPJADAKE_00091	CDS	741	glnQ_1			Glutamine transport ATP-binding protein GlnQ
CPJADAKE_00092	CDS	1566				hypothetical protein
CPJADAKE_00093	CDS	1890				hypothetical protein
CPJADAKE_00094	CDS	471				hypothetical protein
CPJADAKE_00095	CDS	369				hypothetical protein
CPJADAKE_00096	CDS	846	uppP	3.6.1.27		Undecaprenyl-diphosphatase
CPJADAKE_00097	CDS	1062	dinB	2.7.7.7	COG0389	DNA polymerase IV
CPJADAKE_00098	CDS	2325	pflB	2.3.1.54		Formate acetyltransferase
CPJADAKE_00099	CDS	318				hypothetical protein
CPJADAKE_00100	CDS	249				hypothetical protein
CPJADAKE_00101	CDS	285				hypothetical protein
CPJADAKE_00102	CDS	171				hypothetical protein
CPJADAKE_00103	CDS	459				hypothetical protein
CPJADAKE_00104	CDS	1440	trkG		COG0168	Trk system potassium uptake protein TrkG
CPJADAKE_00105	CDS	1350	trkA		COG0569	Trk system potassium uptake protein TrkA
CPJADAKE_00106	CDS	849	salL	2.5.1.94	COG1912	Adenosyl-chloride synthase
CPJADAKE_00107	CDS	549				hypothetical protein
CPJADAKE_00108	CDS	204				hypothetical protein
CPJADAKE_00109	CDS	1683	ykoD_1	3.6.3.-	COG1122	Putative HMP/thiamine import ATP-binding protein YkoD
CPJADAKE_00110	CDS	831	ecfT_1		COG0619	Energy-coupling factor transporter transmembrane protein EcfT
CPJADAKE_00111	CDS	504	trmL	2.1.1.207	COG0219	tRNA (cytidine(34)-2'-O)-methyltransferase
CPJADAKE_00112	CDS	564	ribU		COG3601	Riboflavin transporter RibU
CPJADAKE_00113	CDS	651				hypothetical protein
CPJADAKE_00114	CDS	390				hypothetical protein
CPJADAKE_00115	CDS	450				hypothetical protein
CPJADAKE_00116	CDS	588	rpoE			putative DNA-directed RNA polymerase subunit delta
CPJADAKE_00117	CDS	1608	pyrG	6.3.4.2	COG0504	CTP synthase
CPJADAKE_00118	CDS	1632				hypothetical protein
CPJADAKE_00119	CDS	4980				hypothetical protein
CPJADAKE_00120	CDS	1197	pgk	2.7.2.3	COG0126	Phosphoglycerate kinase
CPJADAKE_00121	CDS	528				hypothetical protein
CPJADAKE_00122	CDS	357	glnR		COG0789	HTH-type transcriptional regulator GlnR
CPJADAKE_00123	CDS	1347	glnA	6.3.1.2	COG0174	Glutamine synthetase
CPJADAKE_00124	CDS	150				hypothetical protein
CPJADAKE_00125	CDS	201	atpE_1		COG0636	ATP synthase subunit c
CPJADAKE_00126	CDS	717	atpB		COG0356	ATP synthase subunit a
CPJADAKE_00127	CDS	495	atpF		COG0711	ATP synthase subunit b
CPJADAKE_00128	CDS	537	atpH		COG0712	ATP synthase subunit delta
CPJADAKE_00129	CDS	1506	atpA	7.1.2.2	COG0056	ATP synthase subunit alpha
CPJADAKE_00130	CDS	879	atpG		COG0224	ATP synthase gamma chain
CPJADAKE_00131	CDS	1407	atpD	7.1.2.2	COG0055	ATP synthase subunit beta
CPJADAKE_00132	CDS	420	atpC		COG0355	ATP synthase epsilon chain
CPJADAKE_00133	CDS	1014	pgl	3.1.1.31	COG2706	6-phosphogluconolactonase
CPJADAKE_00134	CDS	1167			COG0628	Putative transport protein
CPJADAKE_00135	CDS	1230	bepA	3.4.-.-		Beta-barrel assembly-enhancing protease
CPJADAKE_00136	CDS	642	yecS		COG0765	L-cystine transport system permease protein YecS
CPJADAKE_00137	CDS	630	glnQ_2		COG1126	Glutamine transport ATP-binding protein GlnQ
CPJADAKE_00138	CDS	837	artP_1		COG0834	Arginine-binding extracellular protein ArtP
CPJADAKE_00139	CDS	348				hypothetical protein
CPJADAKE_00140	CDS	1719	pgcA	5.4.2.2		Phosphoglucomutase
CPJADAKE_00141	CDS	534				IS630 family transposase IS630-Spn1
CPJADAKE_00142	CDS	255				hypothetical protein
CPJADAKE_00143	CDS	1080				hypothetical protein
CPJADAKE_00144	CDS	678				hypothetical protein
CPJADAKE_00145	CDS	870	gla		COG0580	Glycerol facilitator-aquaporin gla
CPJADAKE_00146	CDS	1197	tuf			Elongation factor Tu
CPJADAKE_00147	CDS	507				IS630 family transposase ISSpn2
CPJADAKE_00148	CDS	510				IS630 family transposase ISSpn2
CPJADAKE_00149	CDS	1083	yfmL	3.6.4.13	COG0513	putative ATP-dependent RNA helicase YfmL
CPJADAKE_00150	CDS	978	iolU	1.1.1.371	COG0673	scyllo-inositol 2-dehydrogenase (NADP(+)) IolU
CPJADAKE_00151	CDS	378				hypothetical protein
CPJADAKE_00152	CDS	1443	pgdA	3.5.1.104	COG0726	Peptidoglycan-N-acetylglucosamine deacetylase
CPJADAKE_00153	CDS	843	yvgN	1.1.1.-	COG0656	Glyoxal reductase
CPJADAKE_00154	CDS	762				hypothetical protein
CPJADAKE_00155	CDS	918	glyQ	6.1.1.14	COG0752	Glycine--tRNA ligase alpha subunit
CPJADAKE_00156	CDS	2049	glyS	6.1.1.14	COG0751	Glycine--tRNA ligase beta subunit
CPJADAKE_00157	CDS	258				hypothetical protein
CPJADAKE_00158	CDS	1245				hypothetical protein
CPJADAKE_00159	CDS	606	urdA	1.3.99.33		Urocanate reductase
CPJADAKE_00160	CDS	924	apbE	2.7.1.180	COG1477	FAD:protein FMN transferase
CPJADAKE_00161	CDS	1380		1.6.99.3		putative NADH oxidase
CPJADAKE_00162	CDS	876	pdxS	4.3.3.6	COG0214	Pyridoxal 5'-phosphate synthase subunit PdxS
CPJADAKE_00163	CDS	582	pdxT	4.3.3.6		Pyridoxal 5'-phosphate synthase subunit PdxT
CPJADAKE_00164	CDS	648				hypothetical protein
CPJADAKE_00165	CDS	447				hypothetical protein
CPJADAKE_00166	CDS	495				hypothetical protein
CPJADAKE_00167	CDS	531	ogt	2.1.1.63		Methylated-DNA--protein-cysteine methyltransferase
CPJADAKE_00168	CDS	357	mgsR		COG1393	Regulatory protein MgsR
CPJADAKE_00169	CDS	801	yxeN			putative amino-acid permease protein YxeN
CPJADAKE_00170	CDS	744	tcyC	3.6.3.-	COG1126	L-cystine import ATP-binding protein TcyC
CPJADAKE_00171	CDS	225				hypothetical protein
CPJADAKE_00172	CDS	912	trxB	1.8.1.9	COG0492	Thioredoxin reductase
CPJADAKE_00173	CDS	729		2.1.1.-		Putative TrmH family tRNA/rRNA methyltransferase
CPJADAKE_00174	CDS	612	def_1	3.5.1.88	COG0242	Peptide deformylase
CPJADAKE_00175	CDS	717	capA			Capsule biosynthesis protein CapA
CPJADAKE_00176	CDS	300				hypothetical protein
CPJADAKE_00177	CDS	828	ybiV	3.1.3.23	COG0561	Sugar phosphatase YbiV
CPJADAKE_00178	CDS	636				hypothetical protein
CPJADAKE_00179	CDS	726				hypothetical protein
CPJADAKE_00180	CDS	936	yfeW	3.4.16.4	COG1680	Putative D-alanyl-D-alanine carboxypeptidase
CPJADAKE_00181	CDS	897	yicL_1		COG0697	putative inner membrane transporter YicL
CPJADAKE_00182	CDS	699	nagR		COG2188	HTH-type transcriptional repressor NagR
CPJADAKE_00183	CDS	1563	guaA	6.3.5.2		GMP synthase [glutamine-hydrolyzing]
CPJADAKE_00184	CDS	888				hypothetical protein
CPJADAKE_00185	CDS	276				hypothetical protein
CPJADAKE_00186	CDS	192				hypothetical protein
CPJADAKE_00187	CDS	183				hypothetical protein
CPJADAKE_00188	CDS	1287				hypothetical protein
CPJADAKE_00189	CDS	726				hypothetical protein
CPJADAKE_00190	CDS	720	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
CPJADAKE_00191	CDS	729				hypothetical protein
CPJADAKE_00192	CDS	210				hypothetical protein
CPJADAKE_00193	CDS	489				hypothetical protein
CPJADAKE_00194	CDS	1461	pncB2	6.3.4.21	COG1488	Nicotinate phosphoribosyltransferase pncB2
CPJADAKE_00195	CDS	825	nadE	6.3.1.5	COG0171	NH(3)-dependent NAD(+) synthetase
CPJADAKE_00196	CDS	552				hypothetical protein
CPJADAKE_00197	CDS	102				hypothetical protein
CPJADAKE_00198	CDS	390				hypothetical protein
CPJADAKE_00199	CDS	1029	queA	2.4.99.17	COG0809	S-adenosylmethionine:tRNA ribosyltransferase-isomerase
CPJADAKE_00200	CDS	708	nagB	3.5.99.6	COG0363	Glucosamine-6-phosphate deaminase
CPJADAKE_00201	CDS	177	rpsU		COG0828	30S ribosomal protein S21
CPJADAKE_00202	CDS	936	hprK	2.7.11.-	COG1493	HPr kinase/phosphorylase
CPJADAKE_00203	CDS	789	lgt	2.5.1.145	COG0682	Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase
CPJADAKE_00204	CDS	384				hypothetical protein
CPJADAKE_00205	CDS	390				hypothetical protein
CPJADAKE_00206	CDS	1131	hemW		COG0635	Heme chaperone HemW
CPJADAKE_00207	CDS	738				hypothetical protein
CPJADAKE_00208	CDS	774	yutF	3.1.3.-	COG0647	Acid sugar phosphatase
CPJADAKE_00209	CDS	618				hypothetical protein
CPJADAKE_00210	CDS	402	spxA_1		COG1393	Regulatory protein Spx
CPJADAKE_00211	CDS	279				hypothetical protein
CPJADAKE_00212	CDS	774	suhB	3.1.3.11	COG0483	Fructose-1,6-bisphosphatase/inositol-1-monophosphatase
CPJADAKE_00213	CDS	1305	rsmF	2.1.1.-	COG0144	Ribosomal RNA small subunit methyltransferase F
CPJADAKE_00214	CDS	114				hypothetical protein
CPJADAKE_00215	CDS	879	pstS1		COG0226	Phosphate-binding protein PstS 1
CPJADAKE_00216	CDS	918	pstC		COG0573	Phosphate transport system permease protein PstC
CPJADAKE_00217	CDS	885				hypothetical protein
CPJADAKE_00218	CDS	804	pstB3_1	7.3.2.1	COG1117	Phosphate import ATP-binding protein PstB 3
CPJADAKE_00219	CDS	759	pstB3_2	7.3.2.1	COG1117	Phosphate import ATP-binding protein PstB 3
CPJADAKE_00220	CDS	654	phoU_1		COG0704	Phosphate-specific transport system accessory protein PhoU 
CPJADAKE_00221	CDS	816	glnH_1		COG0834	Glutamine-binding periplasmic protein
CPJADAKE_00222	CDS	1272	gabR		COG1167	HTH-type transcriptional regulatory protein GabR
CPJADAKE_00223	CDS	672	aldC	4.1.1.5	COG3527	Alpha-acetolactate decarboxylase
CPJADAKE_00224	CDS	753				hypothetical protein
CPJADAKE_00225	CDS	906	murB	1.3.1.98		UDP-N-acetylenolpyruvoylglucosamine reductase
CPJADAKE_00226	CDS	1158	potA	7.6.2.11		Spermidine/putrescine import ATP-binding protein PotA
CPJADAKE_00227	CDS	807	potB		COG1176	Spermidine/putrescine transport system permease protein PotB
CPJADAKE_00228	CDS	774	ydcV			Inner membrane ABC transporter permease protein YdcV
CPJADAKE_00229	CDS	1071	potD		COG0687	Spermidine/putrescine-binding periplasmic protein
CPJADAKE_00230	CDS	486				hypothetical protein
CPJADAKE_00231	CDS	2619	alaS	6.1.1.7		Alanine--tRNA ligase
CPJADAKE_00232	CDS	1455	amyS	3.2.1.1		Alpha-amylase
CPJADAKE_00233	CDS	750	ecsA_1		COG1131	ABC-type transporter ATP-binding protein EcsA
CPJADAKE_00234	CDS	1635				hypothetical protein
CPJADAKE_00235	CDS	1164	rlmI	2.1.1.191	COG1092	Ribosomal RNA large subunit methyltransferase I
CPJADAKE_00236	CDS	678	aroD	4.2.1.10	COG0710	3-dehydroquinate dehydratase
CPJADAKE_00237	CDS	855	aroE	1.1.1.25	COG0169	Shikimate dehydrogenase (NADP(+))
CPJADAKE_00238	CDS	1068	aroB	4.2.3.4	COG0337	3-dehydroquinate synthase
CPJADAKE_00239	CDS	1167	aroC	4.2.3.5	COG0082	Chorismate synthase
CPJADAKE_00240	CDS	1104				hypothetical protein
CPJADAKE_00241	CDS	339				hypothetical protein
CPJADAKE_00242	CDS	1284	aroA	2.5.1.19	COG0128	3-phosphoshikimate 1-carboxyvinyltransferase
CPJADAKE_00243	CDS	477	aroK	2.7.1.71	COG0703	Shikimate kinase
CPJADAKE_00244	CDS	849	pheA			Bifunctional chorismate mutase/prephenate dehydratase
CPJADAKE_00245	CDS	1275	tagU_2	2.7.8.-		Polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase TagU
CPJADAKE_00246	CDS	837				hypothetical protein
CPJADAKE_00247	CDS	1104	pglJ	2.4.1.291	COG0438	N-acetylgalactosamine-N,N'-diacetylbacillosaminyl-diphospho-undecaprenol 4-alpha-N-acetylgalactosaminyltransferase
CPJADAKE_00248	CDS	987	glyG			Glycosyltransferase GlyG
CPJADAKE_00249	CDS	1434				hypothetical protein
CPJADAKE_00250	CDS	1035				hypothetical protein
CPJADAKE_00251	CDS	738	mecA		COG4862	Adapter protein MecA
CPJADAKE_00252	CDS	1287	hom	1.1.1.3	COG0460	Homoserine dehydrogenase
CPJADAKE_00253	CDS	870	thrB	2.7.1.39	COG0083	Homoserine kinase
CPJADAKE_00254	CDS	939	msrAB1		COG0225	Peptide methionine sulfoxide reductase MsrA/MsrB 1
CPJADAKE_00255	CDS	1725			COG1132	putative ABC transporter ATP-binding protein
CPJADAKE_00256	CDS	1749		7.6.2.-	COG1132	Fatty acid ABC transporter ATP-binding/permease protein
CPJADAKE_00257	CDS	1347	gdh	1.4.1.4	COG0334	NADP-specific glutamate dehydrogenase
CPJADAKE_00258	CDS	267				IS630 family transposase ISSpn2
CPJADAKE_00259	CDS	285				hypothetical protein
CPJADAKE_00260	CDS	303	efeN	1.11.1.-	COG2837	putative deferrochelatase/peroxidase EfeN
CPJADAKE_00261	CDS	489				hypothetical protein
CPJADAKE_00262	CDS	243	rpmE2		COG0254	50S ribosomal protein L31 type B
CPJADAKE_00263	CDS	936	nrnA	3.1.-.-	COG0618	putative bifunctional oligoribonuclease and PAP phosphatase NrnA
CPJADAKE_00264	CDS	444				Flavodoxin
CPJADAKE_00265	CDS	267				hypothetical protein
CPJADAKE_00266	CDS	375	crcB_1			Putative fluoride ion transporter CrcB
CPJADAKE_00267	CDS	330	crcB_2		COG0239	Putative fluoride ion transporter CrcB
CPJADAKE_00268	CDS	348	rplS		COG0335	50S ribosomal protein L19
CPJADAKE_00269	tRNA	72				tRNA-Arg(cct)
CPJADAKE_00270	CDS	1128	xerD			Tyrosine recombinase XerD
CPJADAKE_00271	CDS	183				hypothetical protein
CPJADAKE_00272	CDS	1044				hypothetical protein
CPJADAKE_00273	CDS	264				hypothetical protein
CPJADAKE_00274	CDS	1308				hypothetical protein
CPJADAKE_00275	CDS	222				hypothetical protein
CPJADAKE_00276	CDS	300				hypothetical protein
CPJADAKE_00277	CDS	507				hypothetical protein
CPJADAKE_00278	CDS	999				hypothetical protein
CPJADAKE_00279	CDS	807		3.1.3.-		Putative phosphatase
CPJADAKE_00280	CDS	1305				hypothetical protein
CPJADAKE_00281	CDS	378				hypothetical protein
CPJADAKE_00282	CDS	333				hypothetical protein
CPJADAKE_00283	CDS	1572	ffh		COG0541	Signal recognition particle protein
CPJADAKE_00284	CDS	1284	pyrP			Uracil permease
CPJADAKE_00285	CDS	714	rsmG	2.1.1.-	COG0357	Ribosomal RNA small subunit methyltransferase G
CPJADAKE_00286	CDS	561	lemA		COG1704	Protein LemA
CPJADAKE_00287	CDS	900	htpX	3.4.24.-	COG0501	Protease HtpX 
CPJADAKE_00288	CDS	1560	yheS_1		COG0488	putative ABC transporter ATP-binding protein YheS
CPJADAKE_00289	CDS	318				hypothetical protein
CPJADAKE_00290	CDS	543				hypothetical protein
CPJADAKE_00291	CDS	630	pdg			Ultraviolet N-glycosylase/AP lyase
CPJADAKE_00292	CDS	522	pyrR		COG2065	Bifunctional protein PyrR
CPJADAKE_00293	CDS	924	pyrB	2.1.3.2		Aspartate carbamoyltransferase
CPJADAKE_00294	CDS	1080	carA	6.3.5.5		Carbamoyl-phosphate synthase small chain
CPJADAKE_00295	CDS	3177	carB	6.3.5.5	COG0458	Carbamoyl-phosphate synthase large chain
CPJADAKE_00296	CDS	810				hypothetical protein
CPJADAKE_00297	CDS	804				hypothetical protein
CPJADAKE_00298	CDS	1488				hypothetical protein
CPJADAKE_00299	CDS	708	tarI	2.7.7.40	COG1211	Ribitol-5-phosphate cytidylyltransferase
CPJADAKE_00300	CDS	1023	tarJ	1.1.1.405	COG1063	Ribulose-5-phosphate reductase
CPJADAKE_00301	CDS	870	thiK	2.7.1.89		Thiamine kinase
CPJADAKE_00302	CDS	879				hypothetical protein
CPJADAKE_00303	CDS	690	cugP	2.7.7.9		UTP--glucose-1-phosphate uridylyltransferase
CPJADAKE_00304	CDS	849	dprA		COG0758	DNA processing protein DprA
CPJADAKE_00305	CDS	1044				hypothetical protein
CPJADAKE_00306	CDS	2088	topA	5.6.2.1		DNA topoisomerase 1
CPJADAKE_00307	CDS	360	ybaN		COG2832	Inner membrane protein YbaN
CPJADAKE_00308	CDS	633	cutC_1		COG3142	Copper homeostasis protein CutC
CPJADAKE_00309	CDS	657				hypothetical protein
CPJADAKE_00310	CDS	1095	leuA	2.3.3.13		2-isopropylmalate synthase
CPJADAKE_00311	CDS	1038	leuB	1.1.1.85	COG0473	3-isopropylmalate dehydrogenase
CPJADAKE_00312	CDS	270				hypothetical protein
CPJADAKE_00313	CDS	360	leuD	4.2.1.33	COG0066	3-isopropylmalate dehydratase small subunit
CPJADAKE_00314	CDS	171				hypothetical protein
CPJADAKE_00315	CDS	1932				hypothetical protein
CPJADAKE_00316	CDS	1344				hypothetical protein
CPJADAKE_00317	CDS	987	guaC	1.7.1.7	COG0516	GMP reductase
CPJADAKE_00318	tRNA	74				tRNA-Arg(ccg)
CPJADAKE_00319	CDS	699	rnc	3.1.26.3	COG0571	Ribonuclease 3
CPJADAKE_00320	CDS	3540	smc_1		COG1196	Chromosome partition protein Smc
CPJADAKE_00321	CDS	795	ybjI	3.1.3.104	COG0561	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YbjI
CPJADAKE_00322	CDS	819	yidA_1	3.1.3.23	COG0561	Sugar phosphatase YidA
CPJADAKE_00323	CDS	1278	ftsY			Signal recognition particle receptor FtsY
CPJADAKE_00324	CDS	1488	zwf	1.1.1.49	COG0364	Glucose-6-phosphate 1-dehydrogenase
CPJADAKE_00325	CDS	741	artM_1		COG1126	Arginine transport ATP-binding protein ArtM
CPJADAKE_00326	CDS	2166	mltF	4.2.2.-		Membrane-bound lytic murein transglycosylase F
CPJADAKE_00327	CDS	711				hypothetical protein
CPJADAKE_00328	CDS	270				hypothetical protein
CPJADAKE_00329	CDS	1989	uvrB		COG0556	UvrABC system protein B
CPJADAKE_00330	CDS	528				hypothetical protein
CPJADAKE_00331	CDS	510	mshD_1	2.3.1.189		Mycothiol acetyltransferase
CPJADAKE_00332	CDS	468	nudC	3.6.1.22		NADH pyrophosphatase
CPJADAKE_00333	CDS	516	niaR		COG1827	putative transcription repressor NiaR
CPJADAKE_00334	CDS	528	niaX			Niacin transporter NiaX
CPJADAKE_00335	CDS	564	panT		COG4684	Pantothenic acid transporter PanT
CPJADAKE_00336	CDS	552	coaBC_1		COG0452	Coenzyme A biosynthesis bifunctional protein CoaBC
CPJADAKE_00337	CDS	690	coaBC_2		COG0452	Coenzyme A biosynthesis bifunctional protein CoaBC
CPJADAKE_00338	CDS	1671	fhs1	6.3.4.3		Formate--tetrahydrofolate ligase 1
CPJADAKE_00339	CDS	1176	mutY	3.2.2.31		Adenine DNA glycosylase
CPJADAKE_00340	CDS	705	walR		COG0745	Transcriptional regulatory protein WalR
CPJADAKE_00341	CDS	1350	walK	2.7.13.3		Sensor histidine kinase WalK
CPJADAKE_00342	CDS	810	yycJ	3.-.-.-	COG1235	Putative metallo-hydrolase YycJ
CPJADAKE_00343	CDS	243				hypothetical protein
CPJADAKE_00344	CDS	264				hypothetical protein
CPJADAKE_00345	CDS	777				hypothetical protein
CPJADAKE_00346	CDS	987	ldh	1.1.1.27	COG0039	L-lactate dehydrogenase
CPJADAKE_00347	CDS	2469	gyrA	5.6.2.2	COG0188	DNA gyrase subunit A
CPJADAKE_00348	CDS	744	strA	3.4.22.-	COG3764	Sortase A
CPJADAKE_00349	CDS	798				hypothetical protein
CPJADAKE_00350	CDS	123	metY	2.5.1.-		O-acetyl-L-homoserine sulfhydrylase
CPJADAKE_00351	CDS	1041		2.5.1.-	COG2873	O-acetyl-L-homoserine sulfhydrylase
CPJADAKE_00352	CDS	1275				hypothetical protein
CPJADAKE_00353	CDS	879	truB	5.4.99.25	COG0130	tRNA pseudouridine synthase B
CPJADAKE_00354	CDS	96				hypothetical protein
CPJADAKE_00355	CDS	303				hypothetical protein
