"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","ERR1191866","ERR1191867","ERR1191869"
"rpmJ","","50S ribosomal protein L36","3","3","1","1","1316","","","","116","116","116","CPJADAKE_00847","EJKBOHLF_00353","MCNKEKOJ_00521"
"rpsC","","30S ribosomal protein S3","3","3","1","1","1333","","","","653","653","653","CPJADAKE_00830","EJKBOHLF_00336","MCNKEKOJ_00538"
"msrAB","","Peptide methionine sulfoxide reductase MsrA/MsrB","3","3","1","4","70","","","","1112","1112","1112","CPJADAKE_00997","EJKBOHLF_00623","MCNKEKOJ_01831"
"group_1446","","hypothetical protein","3","3","1","1","194","","","","848","848","848","CPJADAKE_01013","EJKBOHLF_00811","MCNKEKOJ_01652"
"group_1447","","hypothetical protein","3","3","1","8","19","","","","1691","1691","1691","CPJADAKE_01282","EJKBOHLF_01931","MCNKEKOJ_01101"
"pyrR","","Bifunctional protein PyrR","3","3","1","5","76","","","","521","521","521","CPJADAKE_00292","EJKBOHLF_01090","MCNKEKOJ_00951"
"group_1449","","hypothetical protein","3","3","1","9","40","","","","365","365","365","CPJADAKE_01135","EJKBOHLF_01024","MCNKEKOJ_01300"
"pstB3_3","","Phosphate import ATP-binding protein PstB 3","3","3","1","11","17","","","","752","752","752","CPJADAKE_01746","EJKBOHLF_01126","MCNKEKOJ_01721"
"araQ_2","","L-arabinose transport system permease protein AraQ","3","3","1","1","1424","","","","923","923","923","CPJADAKE_00372","EJKBOHLF_01179","MCNKEKOJ_01479"
"pbuO","","Guanine/hypoxanthine permease PbuO","3","3","1","1","1256","","","","1418","1418","1418","CPJADAKE_00553","EJKBOHLF_01601","MCNKEKOJ_01733"
"group_1453","","hypothetical protein","3","3","1","1","647","","","","767","767","767","CPJADAKE_01565","EJKBOHLF_00042","MCNKEKOJ_00632"
"ruvB_1","","Holliday junction ATP-dependent DNA helicase RuvB","3","3","1","1","1284","","","","971","971","971","CPJADAKE_00880","EJKBOHLF_01359","MCNKEKOJ_00495"
"dnaN","","Beta sliding clamp","3","3","1","3","89","","","","1136","1136","1136","CPJADAKE_00794","EJKBOHLF_00988","MCNKEKOJ_00452"
"group_1456","","hypothetical protein","3","3","1","1","871","","","","494","494","494","CPJADAKE_01232","EJKBOHLF_01948","MCNKEKOJ_00204"
"rpsK","","30S ribosomal protein S11","3","3","1","1","1314","","","","383","383","383","CPJADAKE_00849","EJKBOHLF_00355","MCNKEKOJ_00519"
"yknY_3","","putative ABC transporter ATP-binding protein YknY","3","3","1","6","98","","","","701","701","701","CPJADAKE_00644","EJKBOHLF_01266","MCNKEKOJ_01170"
"group_1459","","hypothetical protein","3","3","1","3","126","","","","266","266","266","CPJADAKE_00755","EJKBOHLF_01585","MCNKEKOJ_00410"
"group_1460","","hypothetical protein","3","3","1","2","71","","","","272","272","272","CPJADAKE_01223","EJKBOHLF_01966","MCNKEKOJ_01517"
"group_1461","","hypothetical protein","3","3","1","2","37","","","","1412","1412","1412","CPJADAKE_01185","EJKBOHLF_01296","MCNKEKOJ_01068"
"group_1462","","hypothetical protein","3","3","1","3","121","","","","662","662","662","CPJADAKE_00760","EJKBOHLF_01590","MCNKEKOJ_00415"
"rplB","","50S ribosomal protein L2","3","3","1","1","1336","","","","833","833","833","CPJADAKE_00827","EJKBOHLF_00333","MCNKEKOJ_00541"
"group_1464","","hypothetical protein","3","3","1","12","20","","","","446","446","446","CPJADAKE_01897","EJKBOHLF_01837","MCNKEKOJ_01697"
"coaD","","Phosphopantetheine adenylyltransferase","3","3","1","7","34","","","","488","488","488","CPJADAKE_00932","EJKBOHLF_00668","MCNKEKOJ_00998"
"purR","","Pur operon repressor","3","3","1","7","79","","","","827","827","827","CPJADAKE_00923","EJKBOHLF_00677","MCNKEKOJ_01007"
"fabH","","3-oxoacyl-[acyl-carrier-protein] synthase 3","3","3","1","1","1137","","","","974","974","974","CPJADAKE_00059","EJKBOHLF_00249","MCNKEKOJ_00868"
"atpH","","ATP synthase subunit delta","3","3","1","1","878","","","","536","536","536","CPJADAKE_00128","EJKBOHLF_01891","MCNKEKOJ_00212"
"guaB","","Inosine-5'-monophosphate dehydrogenase","3","3","1","3","103","","","","1478","1478","1478","CPJADAKE_00778","EJKBOHLF_01535","MCNKEKOJ_00435"
"group_147","","hypothetical protein","3","3","1","7","15","","","","647","863","791","CPJADAKE_00948","EJKBOHLF_00646","MCNKEKOJ_00983"
"group_1470","","hypothetical protein","3","3","1","6","88","","","","239","239","239","CPJADAKE_00634","EJKBOHLF_01256","MCNKEKOJ_01181"
"nanE_1","","Putative N-acetylmannosamine-6-phosphate 2-epimerase","3","3","1","1","678","","","","698","698","698","CPJADAKE_00471","EJKBOHLF_00071","MCNKEKOJ_00010"
"group_1472","","hypothetical protein","3","3","1","3","114","","","","494","494","494","CPJADAKE_00767","EJKBOHLF_01546","MCNKEKOJ_00424"
"group_1473","","hypothetical protein","3","3","1","1","166","","","","158","158","158","CPJADAKE_01406","EJKBOHLF_01332","MCNKEKOJ_00726"
"pstB3_1","","Phosphate import ATP-binding protein PstB 3","3","3","1","1","388","","","","803","803","803","CPJADAKE_00218","EJKBOHLF_00389","MCNKEKOJ_00312"
"fepD","","Ferric enterobactin transport system permease protein FepD","3","3","1","1","86","","","","1007","1007","1007","CPJADAKE_01623","EJKBOHLF_00930","MCNKEKOJ_00798"
"group_1476","","hypothetical protein","3","3","1","1","222","","","","260","260","260","CPJADAKE_01045","EJKBOHLF_00896","MCNKEKOJ_01790"
"group_1477","","hypothetical protein","3","3","1","1","608","","","","221","221","221","CPJADAKE_01683","EJKBOHLF_00003","MCNKEKOJ_00672"
"group_1478","","hypothetical protein","3","3","1","2","20","","","","689","689","689","CPJADAKE_02009","EJKBOHLF_01996","MCNKEKOJ_01051"
"yknY_2","","putative ABC transporter ATP-binding protein YknY","3","3","1","7","71","","","","641","641","641","CPJADAKE_00915","EJKBOHLF_00685","MCNKEKOJ_01015"
"glnQ_3","","L-cystine import ATP-binding protein TcyC","3","3","1","4","110","","","","473","506","495","CPJADAKE_00960","EJKBOHLF_00585","MCNKEKOJ_01426"
"group_1480","","hypothetical protein","3","3","1","3","214","","","","341","341","341","CPJADAKE_01867","EJKBOHLF_01722","MCNKEKOJ_01964"
"acpP","","Acyl carrier protein","3","3","1","1","988","","","","233","233","233","CPJADAKE_01345","EJKBOHLF_00862","MCNKEKOJ_01260"
"ptcB","","PTS system cellobiose-specific EIIB component","3","3","1","1","565","","","","317","317","317","CPJADAKE_01468","EJKBOHLF_01750","MCNKEKOJ_00706"
"rplW","","50S ribosomal protein L23","3","3","1","1","1337","","","","296","296","296","CPJADAKE_00826","EJKBOHLF_00332","MCNKEKOJ_00542"
"group_1484","","hypothetical protein","3","3","1","1","1148","","","","302","302","302","CPJADAKE_00048","EJKBOHLF_00238","MCNKEKOJ_00857"
"rplC","","50S ribosomal protein L3","3","3","1","1","1339","","","","626","626","626","CPJADAKE_00824","EJKBOHLF_00330","MCNKEKOJ_00544"
"group_1486","","hypothetical protein","3","3","1","1","915","","","","446","446","446","CPJADAKE_00165","EJKBOHLF_00450","MCNKEKOJ_00250"
"rlmH","","Ribosomal RNA large subunit methyltransferase H","3","3","1","3","93","","","","479","479","479","CPJADAKE_00790","EJKBOHLF_00992","MCNKEKOJ_00448"
"group_1488","","hypothetical protein","3","3","1","6","94","","","","215","215","215","CPJADAKE_00640","EJKBOHLF_01262","MCNKEKOJ_01174"
"group_1489","","hypothetical protein","3","3","1","9","4","","","","1310","1310","1310","CPJADAKE_01100","EJKBOHLF_02036","MCNKEKOJ_01266"
"group_1490","","hypothetical protein","3","3","1","3","53","","","","176","176","176","CPJADAKE_02053","EJKBOHLF_02101","MCNKEKOJ_01991"
"sigA","","RNA polymerase sigma factor SigA","3","3","1","1","159","","","","1109","1109","1109","CPJADAKE_01413","EJKBOHLF_01325","MCNKEKOJ_00733"
"gldA","","Glycerol dehydrogenase","3","3","1","1","1288","","","","1088","1088","1088","CPJADAKE_00875","EJKBOHLF_00375","MCNKEKOJ_00499"
"gpsA","","Glycerol-3-phosphate dehydrogenase [NAD(P)+]","3","3","1","11","20","","","","1016","1016","1016","CPJADAKE_01749","EJKBOHLF_01130","MCNKEKOJ_01717"
"mntB","","Manganese transport system membrane protein MntB","3","3","1","1","712","","","","848","848","848","CPJADAKE_00504","EJKBOHLF_00102","MCNKEKOJ_00042"
"secG","","putative protein-export membrane protein SecG","3","3","1","2","109","","","","233","233","233","CPJADAKE_01595","EJKBOHLF_00721","MCNKEKOJ_01615"
"dltC","","D-alanyl carrier protein","3","3","1","3","154","","","","239","239","239","CPJADAKE_01085","EJKBOHLF_00567","MCNKEKOJ_00383"
"phoU_2","","Phosphate-specific transport system accessory protein PhoU ","3","3","1","11","18","","","","650","650","650","CPJADAKE_01747","EJKBOHLF_01127","MCNKEKOJ_01720"
"group_1498","","hypothetical protein","3","3","1","1","680","","","","1328","1328","1328","CPJADAKE_00473","EJKBOHLF_00073","MCNKEKOJ_00012"
"group_1499","","hypothetical protein","3","3","1","2","16","","","","107","107","107","CPJADAKE_02013","EJKBOHLF_01992","MCNKEKOJ_01047"
"glnH_2","","ABC transporter glutamine-binding protein GlnH","3","3","1","4","108","","","","548","866","654","CPJADAKE_00962","EJKBOHLF_00587","MCNKEKOJ_01424"
"rplN","","50S ribosomal protein L14","3","3","1","1","1329","","","","368","368","368","CPJADAKE_00834","EJKBOHLF_00340","MCNKEKOJ_00534"
"rpmE2","","50S ribosomal protein L31 type B","3","3","1","5","114","","","","242","242","242","CPJADAKE_00262","EJKBOHLF_01112","MCNKEKOJ_00973"
"queT","","Queuosine precursor transporter QueT","3","3","1","1","68","","","","509","509","509","CPJADAKE_01643","EJKBOHLF_00912","MCNKEKOJ_00816"
"ulaG","","putative L-ascorbate-6-phosphate lactonase UlaG","3","3","1","9","16","","","","1091","1091","1091","CPJADAKE_01112","EJKBOHLF_01001","MCNKEKOJ_01278"
"rpmH","","50S ribosomal protein L34","3","3","1","7","61","","","","134","134","134","CPJADAKE_00908","EJKBOHLF_02195","MCNKEKOJ_01023"
"malG","","Maltose/maltodextrin transport system permease protein MalG","3","3","1","11","3","","","","842","842","842","CPJADAKE_02000","EJKBOHLF_01148","MCNKEKOJ_01894"
"infA","","Translation initiation factor IF-1","3","3","1","1","1317","","","","218","218","218","CPJADAKE_00846","EJKBOHLF_00352","MCNKEKOJ_00522"
"nusG","","Transcription termination/antitermination protein NusG","3","3","1","3","54","","","","536","536","536","CPJADAKE_02052","EJKBOHLF_02102","MCNKEKOJ_01992"
"asnS","","Asparagine--tRNA ligase","3","3","1","1","847","","","","1343","1343","1343","CPJADAKE_01255","EJKBOHLF_00187","MCNKEKOJ_00181"
"scpB","","Segregation and condensation protein B","3","3","1","8","66","","","","569","569","569","CPJADAKE_01325","EJKBOHLF_02046","MCNKEKOJ_01142"
"sufT","","Fe-S protein maturation auxiliary factor SufT","3","3","1","1","160","","","","329","329","329","CPJADAKE_01412","EJKBOHLF_01326","MCNKEKOJ_00732"
"hdfR","","HTH-type transcriptional regulator HdfR","3","3","1","4","88","","","","968","968","968","CPJADAKE_00981","EJKBOHLF_00607","MCNKEKOJ_01406"
"yteP_1","","putative multiple-sugar transport system permease YteP","3","3","1","1","1423","","","","929","929","929","CPJADAKE_00371","EJKBOHLF_01180","MCNKEKOJ_01480"
"group_1513","","hypothetical protein","3","3","1","4","51","","","","785","785","785","CPJADAKE_01516","EJKBOHLF_00750","MCNKEKOJ_01850"
"tmpC","","Membrane lipoprotein TmpC","3","3","1","1","518","","","","1052","1052","1052","CPJADAKE_00692","EJKBOHLF_01462","MCNKEKOJ_01676"
"group_1515","","hypothetical protein","3","3","1","1","1109","","","","356","356","356","CPJADAKE_00088","EJKBOHLF_00276","MCNKEKOJ_00895"
"secY","","Protein translocase subunit SecY","3","3","1","1","1319","","","","1310","1310","1310","CPJADAKE_00844","EJKBOHLF_00350","MCNKEKOJ_00524"
"group_1517","","hypothetical protein","3","3","1","8","18","","","","710","710","710","CPJADAKE_01281","EJKBOHLF_01932","MCNKEKOJ_01100"
"group_1518","","hypothetical protein","3","3","1","3","62","","","","266","266","266","CPJADAKE_00799","EJKBOHLF_00950","MCNKEKOJ_00478"
"pcp_3","","Pyrrolidone-carboxylate peptidase","3","3","1","2","22","","","","644","644","644","CPJADAKE_02007","EJKBOHLF_01998","MCNKEKOJ_01053"
"rsuA_1","","Ribosomal small subunit pseudouridine synthase A","3","3","1","4","92","","","","725","725","725","CPJADAKE_00977","EJKBOHLF_00603","MCNKEKOJ_01409"
"nusA","","Transcription termination/antitermination protein NusA","3","3","1","2","189","","","","1124","1124","1124","CPJADAKE_01729","EJKBOHLF_02027","MCNKEKOJ_01401"
"gph_1","","Phosphoglycolate phosphatase","3","3","1","1","615","","","","527","527","527","CPJADAKE_01690","EJKBOHLF_00010","MCNKEKOJ_00665"
"group_1522","","hypothetical protein","3","3","1","1","176","","","","680","680","680","CPJADAKE_01398","EJKBOHLF_00793","MCNKEKOJ_01920"
"dtxR","","Diphtheria toxin repressor","3","3","1","1","722","","","","650","650","650","CPJADAKE_00511","EJKBOHLF_00111","MCNKEKOJ_00049"
"udk_2","","Uridine kinase","3","3","1","5","12","","","","638","638","638","CPJADAKE_00356","EJKBOHLF_01796","MCNKEKOJ_01760"
"group_1525","","hypothetical protein","3","3","1","1","419","","","","191","191","191","CPJADAKE_00186","EJKBOHLF_00421","MCNKEKOJ_00281"
"group_1526","","hypothetical protein","3","3","1","1","389","","","","884","884","884","CPJADAKE_00217","EJKBOHLF_00390","MCNKEKOJ_00311"
"group_1527","","hypothetical protein","3","3","1","1","164","","","","134","134","134","CPJADAKE_01408","EJKBOHLF_01330","MCNKEKOJ_00728"
"group_1528","","hypothetical protein","3","3","1","1","1266","","","","152","152","152","CPJADAKE_00543","EJKBOHLF_01375","MCNKEKOJ_01743"
"group_1529","","hypothetical protein","3","3","1","2","190","","","","293","293","293","CPJADAKE_01728","EJKBOHLF_02028","MCNKEKOJ_01400"
"lacZ","","Beta-galactosidase","3","3","1","4","57","","","","6701","6701","6701","CPJADAKE_01010","EJKBOHLF_00636","MCNKEKOJ_01843"
"gnd","","6-phosphogluconate dehydrogenase, decarboxylating","3","3","1","1","1179","","","","1424","1424","1424","CPJADAKE_00029","EJKBOHLF_00209","MCNKEKOJ_00836"
"thiY","","Formylaminopyrimidine-binding protein","3","3","1","3","131","","","","1007","1007","1007","CPJADAKE_00751","EJKBOHLF_01581","MCNKEKOJ_00406"
"walR","","Transcriptional regulatory protein WalR","3","3","1","5","28","","","","704","704","704","CPJADAKE_00340","EJKBOHLF_01192","MCNKEKOJ_00903"
"rpmGA","","50S ribosomal protein L33 1","3","3","1","3","203","","","","149","149","149","CPJADAKE_01877","EJKBOHLF_01733","MCNKEKOJ_01906"
"arlR_1","","Response regulator ArlR","3","3","1","1","1178","","","","689","689","689","CPJADAKE_00030","EJKBOHLF_00210","MCNKEKOJ_00837"
"spxA_1","","Regulatory protein Spx","3","3","1","1","395","","","","401","401","401","CPJADAKE_00210","EJKBOHLF_00397","MCNKEKOJ_00305"
"group_1536","","Putative membrane protein insertion efficiency factor","3","3","1","8","64","","","","242","242","242","CPJADAKE_01323","EJKBOHLF_02044","MCNKEKOJ_01140"
"rpsO","","30S ribosomal protein S15","3","3","1","1","733","","","","269","269","269","CPJADAKE_00522","EJKBOHLF_00122","MCNKEKOJ_00060"
"group_1538","","hypothetical protein","3","3","1","8","9","","","","248","248","248","CPJADAKE_01332","EJKBOHLF_02053","MCNKEKOJ_01149"
"group_1539","","hypothetical protein","3","3","1","1","669","","","","227","227","227","CPJADAKE_00462","EJKBOHLF_00063","MCNKEKOJ_00001"
"group_154","","hypothetical protein","3","3","1","1","218","","","","308","647","534","CPJADAKE_01049","EJKBOHLF_00900","MCNKEKOJ_01786"
"group_1540","","hypothetical protein","3","3","1","1","573","","","","608","608","608","CPJADAKE_01460","EJKBOHLF_01431","MCNKEKOJ_00699"
"group_1541","","hypothetical protein","3","3","1","1","1062","","","","149","149","149","CPJADAKE_00124","EJKBOHLF_01333","MCNKEKOJ_01606"
"group_1542","","hypothetical protein","3","3","1","6","92","","","","338","338","338","CPJADAKE_00638","EJKBOHLF_01260","MCNKEKOJ_01176"
"araQ_1","","L-arabinose transport system permease protein AraQ","3","3","1","1","682","","","","839","839","839","CPJADAKE_00475","EJKBOHLF_00075","MCNKEKOJ_00014"
"pdxS","","Pyridoxal 5'-phosphate synthase subunit PdxS","3","3","1","1","912","","","","875","875","875","CPJADAKE_00162","EJKBOHLF_00453","MCNKEKOJ_00247"
"adcR","","Transcriptional regulator AdcR","3","3","1","3","156","","","","440","440","440","CPJADAKE_01083","EJKBOHLF_00565","MCNKEKOJ_00381"
"rpsR","","30S ribosomal protein S18","3","3","1","1","850","","","","239","239","239","CPJADAKE_01252","EJKBOHLF_00190","MCNKEKOJ_00184"
"tuf","","Elongation factor Tu","3","3","1","1","896","","","","1196","1196","1196","CPJADAKE_00146","EJKBOHLF_02184","MCNKEKOJ_00230"
"group_1548","","hypothetical protein","3","3","1","1","498","","","","230","230","230","CPJADAKE_00671","EJKBOHLF_01482","MCNKEKOJ_01655"
"agaC","","N-acetylgalactosamine permease IIC component 1","3","3","1","1","1226","","","","779","779","779","CPJADAKE_00583","EJKBOHLF_01045","MCNKEKOJ_01353"
"rpmA","","50S ribosomal protein L27","3","3","1","1","192","","","","293","293","293","CPJADAKE_01382","EJKBOHLF_00809","MCNKEKOJ_02023"
"group_1551","","Putative NrdI-like protein","3","3","1","1","1372","","","","470","470","470","CPJADAKE_00446","EJKBOHLF_00297","MCNKEKOJ_00576"
"alaA","","Glutamate-pyruvate aminotransferase AlaA","3","3","1","7","59","","","","1214","1214","1214","CPJADAKE_00907","EJKBOHLF_02064","MCNKEKOJ_01024"
"pdxT","","Pyridoxal 5'-phosphate synthase subunit PdxT","3","3","1","1","913","","","","581","581","581","CPJADAKE_00163","EJKBOHLF_00452","MCNKEKOJ_00248"
"arlR_2","","Response regulator ArlR","3","3","1","6","112","","","","674","674","674","CPJADAKE_00656","EJKBOHLF_01694","MCNKEKOJ_01887"
"group_1555","","hypothetical protein","3","3","1","1","1147","","","","548","548","548","CPJADAKE_00049","EJKBOHLF_00239","MCNKEKOJ_00858"
"group_1556","","Putative transport protein","3","3","1","1","884","","","","1166","1166","1166","CPJADAKE_00134","EJKBOHLF_01897","MCNKEKOJ_00218"
"tilS","","tRNA(Ile)-lysidine synthase","3","3","1","3","58","","","","1277","1277","1277","CPJADAKE_00803","EJKBOHLF_00946","MCNKEKOJ_00482"
"znuC","","High-affinity zinc uptake system ATP-binding protein ZnuC","3","3","1","3","157","","","","704","704","704","CPJADAKE_01082","EJKBOHLF_00564","MCNKEKOJ_00380"
"lspA","","Lipoprotein signal peptidase","3","3","1","2","149","","","","461","461","461","CPJADAKE_01529","EJKBOHLF_01561","MCNKEKOJ_01535"
"bglK_2","","Beta-glucoside kinase","3","3","1","3","195","","","","869","881","877","CPJADAKE_01055","EJKBOHLF_00537","MCNKEKOJ_00354"
"yecS","","L-cystine transport system permease protein YecS","3","3","1","1","886","","","","641","641","641","CPJADAKE_00136","EJKBOHLF_01899","MCNKEKOJ_00220"
"group_1561","","hypothetical protein","3","3","1","2","180","","","","203","203","203","CPJADAKE_01738","EJKBOHLF_02019","MCNKEKOJ_02015"
"yafQ","","mRNA interferase toxin YafQ","3","3","1","1","1267","","","","278","278","278","CPJADAKE_00542","EJKBOHLF_01374","MCNKEKOJ_01744"
