locus_tag	ftype	length_bp	gene	EC_number	COG	product
EJKBOHLF_00079	CDS	918	nanA_2	4.1.3.3	COG0329	N-acetylneuraminate lyase
EJKBOHLF_00080	CDS	885	bglK_1	2.7.1.85	COG1940	Beta-glucoside kinase
EJKBOHLF_00081	CDS	852	ybbH		COG1737	putative HTH-type transcriptional regulator YbbH
EJKBOHLF_00082	CDS	2043	penA		COG0768	Penicillin-binding protein 2B
EJKBOHLF_00083	CDS	597	recR		COG0353	Recombination protein RecR
EJKBOHLF_00084	CDS	1044	ddl	6.3.2.4	COG1181	D-alanine--D-alanine ligase
EJKBOHLF_00085	CDS	1374	murF	6.3.2.10	COG0770	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
EJKBOHLF_00086	CDS	705				hypothetical protein
EJKBOHLF_00087	CDS	1374	ftsA		COG0849	Cell division protein FtsA
EJKBOHLF_00088	CDS	1260	ftsZ		COG0206	Cell division protein FtsZ
EJKBOHLF_00089	CDS	672			COG0325	Pyridoxal phosphate homeostasis protein
EJKBOHLF_00090	CDS	540	sepF		COG1799	Cell division protein SepF
EJKBOHLF_00091	CDS	264				hypothetical protein
EJKBOHLF_00092	CDS	786				hypothetical protein
EJKBOHLF_00093	CDS	789	divIVA		COG3599	Cell division protein DivIVA
EJKBOHLF_00094	CDS	2793	ileS	6.1.1.5		Isoleucine--tRNA ligase
EJKBOHLF_00095	CDS	381				hypothetical protein
EJKBOHLF_00096	CDS	693	gpmA_1	5.4.2.11		2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
EJKBOHLF_00097	CDS	2412				hypothetical protein
EJKBOHLF_00098	CDS	702			COG1136	putative ABC transporter ATP-binding protein
EJKBOHLF_00099	CDS	2709				hypothetical protein
EJKBOHLF_00100	CDS	492	tpx	1.11.1.15	COG2077	Thiol peroxidase
EJKBOHLF_00101	CDS	930	psaA		COG0803	Manganese ABC transporter substrate-binding lipoprotein
EJKBOHLF_00102	CDS	849	mntB			Manganese transport system membrane protein MntB
EJKBOHLF_00103	CDS	723	scaC	7.2.2.5	COG1121	Manganese import ATP-binding protein ScaC
EJKBOHLF_00104	CDS	1893	pepO	3.4.24.-	COG3590	Neutral endopeptidase
EJKBOHLF_00105	CDS	630		3.-.-.-		putative metallo-hydrolase
EJKBOHLF_00106	CDS	2223	relA			Bifunctional (p)ppGpp synthase/hydrolase RelA
EJKBOHLF_00107	CDS	444	dtd	3.1.1.96	COG1490	D-aminoacyl-tRNA deacylase
EJKBOHLF_00108	CDS	108				hypothetical protein
EJKBOHLF_00109	CDS	414				hypothetical protein
EJKBOHLF_00110	CDS	552				hypothetical protein
EJKBOHLF_00111	CDS	651	dtxR			Diphtheria toxin repressor
EJKBOHLF_00112	CDS	843				hypothetical protein
EJKBOHLF_00113	CDS	438	ywnA		COG1959	Putative HTH-type transcriptional regulator YwnA
EJKBOHLF_00114	CDS	303				hypothetical protein
EJKBOHLF_00115	CDS	1074				hypothetical protein
EJKBOHLF_00116	CDS	678	graR		COG0745	Response regulator protein GraR
EJKBOHLF_00117	CDS	975	graS	2.7.13.3	COG0642	Sensor histidine kinase GraS
EJKBOHLF_00118	CDS	1944	thrS	6.1.1.3	COG0441	Threonine--tRNA ligase
EJKBOHLF_00119	CDS	141				hypothetical protein
EJKBOHLF_00120	CDS	201				hypothetical protein
EJKBOHLF_00121	CDS	630				hypothetical protein
EJKBOHLF_00122	CDS	270	rpsO		COG0184	30S ribosomal protein S15
EJKBOHLF_00123	CDS	615				hypothetical protein
EJKBOHLF_00124	CDS	750	plsC	2.3.1.-	COG0204	1-acyl-sn-glycerol-3-phosphate acyltransferase
EJKBOHLF_00125	CDS	2337	ctpE	7.2.2.10	COG0474	Calcium-transporting ATPase CtpE
EJKBOHLF_00126	CDS	678	trmK	2.1.1.217	COG2384	tRNA (adenine(22)-N(1))-methyltransferase
EJKBOHLF_00127	CDS	798			COG0327	GTP cyclohydrolase 1 type 2 
EJKBOHLF_00128	CDS	1104	thiO	1.4.3.19		Glycine oxidase
EJKBOHLF_00129	CDS	1020	lnpD	5.1.3.2		UDP-glucose 4-epimerase
EJKBOHLF_00130	CDS	972	csbB	2.4.-.-	COG0463	Putative glycosyltransferase CsbB
EJKBOHLF_00131	CDS	213				hypothetical protein
EJKBOHLF_00132	CDS	477				hypothetical protein
EJKBOHLF_00133	CDS	672	cmk	2.7.4.25	COG0283	Cytidylate kinase
EJKBOHLF_00134	CDS	339				hypothetical protein
EJKBOHLF_00135	CDS	630				hypothetical protein
EJKBOHLF_00136	CDS	1152				hypothetical protein
EJKBOHLF_00137	CDS	750	truA	5.4.99.12	COG0101	tRNA pseudouridine synthase A
EJKBOHLF_00138	CDS	774	pdxK	2.7.1.35	COG0351	Pyridoxine kinase
EJKBOHLF_00139	CDS	462	hmpT		COG4720	Thiamine precursor transporter HmpT
EJKBOHLF_00140	CDS	1083	pepQ	3.4.13.9	COG0006	Xaa-Pro dipeptidase
EJKBOHLF_00141	CDS	783	gatD	6.3.5.13	COG3442	Lipid II isoglutaminyl synthase (glutamine-hydrolyzing) subunit GatD
EJKBOHLF_00142	CDS	1344	murT	6.3.5.13	COG0769	Lipid II isoglutaminyl synthase (glutamine-hydrolyzing) subunit MurT
EJKBOHLF_00143	CDS	1317	rclA		COG1249	putative pyridine nucleotide-disulfide oxidoreductase RclA
EJKBOHLF_00144	CDS	1227				L-lactate transporter
EJKBOHLF_00145	CDS	1560	cshA	3.6.4.13	COG0513	ATP-dependent RNA helicase CshA
EJKBOHLF_00146	CDS	789	codY		COG4465	GTP-sensing transcriptional pleiotropic repressor CodY
EJKBOHLF_00147	CDS	576				hypothetical protein
EJKBOHLF_00148	tRNA	86				tRNA-Leu(aag)
EJKBOHLF_00149	CDS	1131	msmX	7.5.2.-	COG3839	Oligosaccharides import ATP-binding protein MsmX
EJKBOHLF_00150	CDS	759	COQ5_2	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
EJKBOHLF_00151	CDS	513	apt	2.4.2.7	COG0503	Adenine phosphoribosyltransferase
EJKBOHLF_00152	CDS	945	metAA	2.3.1.31	COG1897	Homoserine O-acetyltransferase
EJKBOHLF_00153	CDS	678	dnaD		COG3935	DNA replication protein DnaD
EJKBOHLF_00154	CDS	759	tpiA	5.3.1.1	COG0149	Triosephosphate isomerase
EJKBOHLF_00155	CDS	1506				hypothetical protein
EJKBOHLF_00156	CDS	519	dps	1.16.-.-	COG0783	DNA protection during starvation protein
EJKBOHLF_00157	CDS	507	dhfR	1.5.1.3	COG0262	Dihydrofolate reductase
EJKBOHLF_00158	CDS	171				hypothetical protein
EJKBOHLF_00159	CDS	1233	clpX			ATP-dependent Clp protease ATP-binding subunit ClpX
EJKBOHLF_00160	CDS	588	engB		COG0218	putative GTP-binding protein EngB
EJKBOHLF_00161	CDS	381	yabJ	3.5.99.10	COG0251	2-iminobutanoate/2-iminopropanoate deaminase
EJKBOHLF_00162	CDS	891	yvcJ		COG1660	Nucleotide-binding protein YvcJ
EJKBOHLF_00163	CDS	978			COG0391	Putative gluconeogenesis factor
EJKBOHLF_00164	CDS	912	whiA		COG1481	putative cell division protein WhiA
EJKBOHLF_00165	CDS	969	yumC	1.18.1.2	COG0492	Ferredoxin--NADP reductase 2
EJKBOHLF_00166	CDS	858	cdaA	2.7.7.85	COG1624	Cyclic di-AMP synthase CdaA
EJKBOHLF_00167	CDS	780				hypothetical protein
EJKBOHLF_00168	CDS	1353	glmM	5.4.2.10	COG1109	Phosphoglucosamine mutase
EJKBOHLF_00169	CDS	375				hypothetical protein
EJKBOHLF_00170	CDS	849			COG1307	DegV domain-containing protein
EJKBOHLF_00171	CDS	768	dapB	1.17.1.8	COG0289	4-hydroxy-tetrahydrodipicolinate reductase
EJKBOHLF_00172	CDS	1185	cca	2.7.7.72		CCA-adding enzyme
EJKBOHLF_00173	CDS	1872	ettA_1		COG0488	Energy-dependent translational throttle protein EttA
EJKBOHLF_00174	CDS	1185	fieF			Ferrous-iron efflux pump FieF
EJKBOHLF_00175	CDS	2697		7.2.2.10		Calcium-transporting ATPase 1
EJKBOHLF_00176	CDS	792	yghU	1.8.4.-	COG0625	Disulfide-bond oxidoreductase YghU
EJKBOHLF_00177	CDS	411	def_1	3.5.1.88	COG0242	Peptide deformylase
EJKBOHLF_00178	CDS	1596				hypothetical protein
EJKBOHLF_00179	CDS	165				hypothetical protein
EJKBOHLF_00180	CDS	729	yaaA		COG3022	Peroxide stress resistance protein YaaA
EJKBOHLF_00181	CDS	1485				Putative trans-acting regulator
EJKBOHLF_00182	CDS	6795				hypothetical protein
EJKBOHLF_00183	CDS	549				hypothetical protein
EJKBOHLF_00184	CDS	432				hypothetical protein
EJKBOHLF_00185	CDS	1188	aspB	2.6.1.14	COG0436	Asparagine--oxo-acid transaminase
EJKBOHLF_00186	CDS	366				hypothetical protein
EJKBOHLF_00187	CDS	1344	asnS	6.1.1.22	COG0017	Asparagine--tRNA ligase
EJKBOHLF_00188	CDS	291	rpsF		COG0360	30S ribosomal protein S6
EJKBOHLF_00189	CDS	471	ssb_1		COG0629	Single-stranded DNA-binding protein
EJKBOHLF_00190	CDS	240	rpsR		COG0238	30S ribosomal protein S18
EJKBOHLF_00191	CDS	1401				Putative bifunctional phosphatase/peptidyl-prolyl cis-trans isomerase
EJKBOHLF_00192	CDS	360	yugI		COG1098	General stress protein 13
EJKBOHLF_00193	CDS	750	yfiC	2.1.1.223		tRNA1(Val) (adenine(37)-N6)-methyltransferase
EJKBOHLF_00194	CDS	300				hypothetical protein
EJKBOHLF_00195	CDS	936	ppaC	3.6.1.1	COG1227	putative manganese-dependent inorganic pyrophosphatase
EJKBOHLF_00196	CDS	513				hypothetical protein
EJKBOHLF_00197	CDS	504				hypothetical protein
EJKBOHLF_00198	CDS	195				hypothetical protein
EJKBOHLF_00199	CDS	1446	murE	6.3.2.7	COG0769	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--L-lysine ligase
EJKBOHLF_00200	CDS	1623	murJ		COG2244	Lipid II flippase MurJ
EJKBOHLF_00201	CDS	1983	sarA_1		COG4166	Oligopeptide-binding protein SarA
EJKBOHLF_00202	CDS	5304		3.2.1.97		Endo-alpha-N-acetylgalactosaminidase
EJKBOHLF_00203	CDS	2160	ponA		COG0744	Penicillin-binding protein 1A
EJKBOHLF_00204	CDS	597	recU	3.1.22.4	COG3331	Holliday junction resolvase RecU
EJKBOHLF_00205	CDS	528				hypothetical protein
EJKBOHLF_00206	CDS	330	gpsB		COG3599	Cell cycle protein GpsB
EJKBOHLF_00207	CDS	1158	rlmL		COG0116	Ribosomal RNA large subunit methyltransferase K/L
EJKBOHLF_00208	CDS	1395	mapZ			Mid-cell-anchored protein Z
EJKBOHLF_00209	CDS	1425	gnd	1.1.1.44	COG0362	6-phosphogluconate dehydrogenase, decarboxylating
EJKBOHLF_00210	CDS	690	arlR_1		COG0745	Response regulator ArlR
EJKBOHLF_00211	CDS	1023				hypothetical protein
EJKBOHLF_00212	CDS	999				hypothetical protein
EJKBOHLF_00213	CDS	1233				hypothetical protein
EJKBOHLF_00214	CDS	876				hypothetical protein
EJKBOHLF_00215	CDS	330				hypothetical protein
EJKBOHLF_00216	CDS	879	galK_1	2.7.1.6		Galactokinase
EJKBOHLF_00217	CDS	954				hypothetical protein
EJKBOHLF_00218	CDS	1008		2.7.4.2		Phosphomevalonate kinase
EJKBOHLF_00219	CDS	1011	fni	5.3.3.2		Isopentenyl-diphosphate delta-isomerase
EJKBOHLF_00220	CDS	699	liaF		COG4758	Protein LiaF
EJKBOHLF_00221	CDS	996				hypothetical protein
EJKBOHLF_00222	CDS	633	liaR		COG2197	Transcriptional regulatory protein LiaR
EJKBOHLF_00223	CDS	243				hypothetical protein
EJKBOHLF_00224	CDS	201				hypothetical protein
EJKBOHLF_00225	CDS	642				hypothetical protein
EJKBOHLF_00226	CDS	294	lytA_1	3.5.1.28		Autolysin
EJKBOHLF_00227	CDS	960				hypothetical protein
EJKBOHLF_00228	CDS	582				IS3 family transposase ISSpn11
EJKBOHLF_00229	CDS	270				hypothetical protein
EJKBOHLF_00230	CDS	1770				hypothetical protein
EJKBOHLF_00231	CDS	1956	mtlR			Transcriptional regulator MtlR
EJKBOHLF_00232	CDS	438	mtlF		COG2213	Mannitol-specific phosphotransferase enzyme IIA component
EJKBOHLF_00233	CDS	1137	mtlD	1.1.1.17	COG0246	Mannitol-1-phosphate 5-dehydrogenase
EJKBOHLF_00234	CDS	1284	tig	5.2.1.8	COG0544	Trigger factor
EJKBOHLF_00235	CDS	2367	recD2	3.6.4.12	COG0507	ATP-dependent RecD-like DNA helicase
EJKBOHLF_00236	CDS	615	spsB	3.4.21.89		Signal peptidase IB
EJKBOHLF_00237	CDS	882	rnhC	3.1.26.4	COG1039	Ribonuclease HIII
EJKBOHLF_00238	CDS	303				hypothetical protein
EJKBOHLF_00239	CDS	549				hypothetical protein
EJKBOHLF_00240	CDS	2337	mutS2	3.1.-.-		Endonuclease MutS2
EJKBOHLF_00241	CDS	1323	alsT		COG1115	Amino-acid carrier protein AlsT
EJKBOHLF_00242	CDS	549				hypothetical protein
EJKBOHLF_00243	CDS	900				hypothetical protein
EJKBOHLF_00244	CDS	1275	serS	6.1.1.11		Serine--tRNA ligase
EJKBOHLF_00245	CDS	372				hypothetical protein
EJKBOHLF_00246	CDS	1365	yclM	2.7.2.4	COG0527	Aspartokinase 3
EJKBOHLF_00247	CDS	786	fabM	5.3.3.14	COG1024	Trans-2-decenoyl-[acyl-carrier-protein] isomerase
EJKBOHLF_00248	CDS	435				hypothetical protein
EJKBOHLF_00249	CDS	975	fabH	2.3.1.180		3-oxoacyl-[acyl-carrier-protein] synthase 3
EJKBOHLF_00250	CDS	225	acpA		COG0236	Acyl carrier protein
EJKBOHLF_00251	CDS	975		1.6.5.11	COG2070	NADH:quinone reductase
EJKBOHLF_00252	CDS	921	fabD	2.3.1.39	COG0331	Malonyl CoA-acyl carrier protein transacylase
EJKBOHLF_00253	CDS	732	fabG	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
EJKBOHLF_00254	CDS	1236	fabF	2.3.1.179		3-oxoacyl-[acyl-carrier-protein] synthase 2
EJKBOHLF_00255	CDS	486	accB			Biotin carboxyl carrier protein of acetyl-CoA carboxylase
EJKBOHLF_00256	CDS	423	fabZ	4.2.1.59	COG0764	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ
EJKBOHLF_00257	CDS	1368	accC	6.3.4.14	COG0439	Biotin carboxylase
EJKBOHLF_00258	CDS	867	accD	2.1.3.15	COG0777	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta
EJKBOHLF_00259	CDS	768	accA	2.1.3.15	COG0825	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha
EJKBOHLF_00260	CDS	186				hypothetical protein
EJKBOHLF_00261	CDS	279				hypothetical protein
EJKBOHLF_00262	CDS	423	nusB		COG0781	Transcription antitermination protein NusB
EJKBOHLF_00263	CDS	390				putative protein
EJKBOHLF_00264	CDS	561	efp			Elongation factor P
EJKBOHLF_00265	CDS	1443	gatB	6.3.5.-	COG0064	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B
EJKBOHLF_00266	CDS	1467	gatA	6.3.5.7	COG0154	Glutamyl-tRNA(Gln) amidotransferase subunit A
EJKBOHLF_00267	CDS	303	gatC_1	6.3.5.-	COG0721	Glutamyl-tRNA(Gln) amidotransferase subunit C
EJKBOHLF_00268	CDS	1545	prfC			Peptide chain release factor 3
EJKBOHLF_00269	CDS	189	rpmB		COG0227	50S ribosomal protein L28
EJKBOHLF_00270	CDS	366				putative protein
EJKBOHLF_00271	CDS	1668				putative protein
EJKBOHLF_00272	CDS	1701	ilvB	2.2.1.6	COG0028	Acetolactate synthase large subunit
EJKBOHLF_00273	CDS	477	ilvH	2.2.1.6	COG0440	Putative acetolactate synthase small subunit
EJKBOHLF_00274	CDS	1023	ilvC	1.1.1.86	COG0059	Ketol-acid reductoisomerase (NADP(+))
EJKBOHLF_00275	CDS	237				hypothetical protein
EJKBOHLF_00276	CDS	357				hypothetical protein
EJKBOHLF_00277	CDS	1251	ilvA	4.3.1.19	COG1171	L-threonine dehydratase biosynthetic IlvA
EJKBOHLF_00278	CDS	216				hypothetical protein
EJKBOHLF_00279	CDS	741	glnQ_1			Glutamine transport ATP-binding protein GlnQ
EJKBOHLF_00280	CDS	1566				hypothetical protein
EJKBOHLF_00281	CDS	1890				hypothetical protein
EJKBOHLF_00282	CDS	471				hypothetical protein
EJKBOHLF_00283	CDS	123				hypothetical protein
EJKBOHLF_00284	CDS	846	uppP	3.6.1.27		Undecaprenyl-diphosphatase
EJKBOHLF_00285	CDS	657				hypothetical protein
EJKBOHLF_00286	CDS	324				hypothetical protein
EJKBOHLF_00287	CDS	831	tcyA		COG0834	L-cystine-binding protein TcyA
EJKBOHLF_00288	CDS	855	metQ		COG1464	D-methionine-binding lipoprotein MetQ
EJKBOHLF_00289	CDS	1374	dapE	3.5.1.18		Succinyl-diaminopimelate desuccinylase
EJKBOHLF_00290	CDS	1062	metN	3.6.3.-	COG1135	Methionine import ATP-binding protein MetN
EJKBOHLF_00291	CDS	693	metP		COG2011	Methionine import system permease protein MetP
EJKBOHLF_00292	CDS	570				hypothetical protein
EJKBOHLF_00293	CDS	615				hypothetical protein
EJKBOHLF_00294	CDS	1683				hypothetical protein
EJKBOHLF_00295	CDS	1287	cheB	3.5.1.44		Protein-glutamate methylesterase/protein-glutamine glutaminase
EJKBOHLF_00296	CDS	534				hypothetical protein
EJKBOHLF_00297	CDS	471			COG1780	Putative NrdI-like protein
EJKBOHLF_00298	CDS	1263				hypothetical protein
EJKBOHLF_00299	CDS	459				hypothetical protein
EJKBOHLF_00300	CDS	441			COG3279	putative HTH-type transcriptional regulator
EJKBOHLF_00301	CDS	1950	mutL		COG0323	DNA mismatch repair protein MutL
EJKBOHLF_00302	CDS	468	ribH	2.5.1.78	COG0054	6,7-dimethyl-8-ribityllumazine synthase
EJKBOHLF_00303	CDS	1206	ribBA		COG0108	Riboflavin biosynthesis protein RibBA
EJKBOHLF_00304	CDS	636	ribE	2.5.1.9	COG0307	Riboflavin synthase
EJKBOHLF_00305	CDS	1101	ribD		COG0117	Riboflavin biosynthesis protein RibD
EJKBOHLF_00306	CDS	594	ruvA	3.6.4.12	COG0632	Holliday junction ATP-dependent DNA helicase RuvA
EJKBOHLF_00307	CDS	564	tag	3.2.2.20	COG2818	DNA-3-methyladenine glycosylase 1
EJKBOHLF_00308	CDS	678				hypothetical protein
EJKBOHLF_00309	CDS	1032	ykfA	3.4.16.-	COG1619	putative murein peptide carboxypeptidase
EJKBOHLF_00310	CDS	684				hypothetical protein
EJKBOHLF_00311	CDS	945				hypothetical protein
EJKBOHLF_00312	CDS	2832	uvrA			UvrABC system protein A
EJKBOHLF_00313	CDS	1062	ypdF	3.4.11.-	COG0006	Aminopeptidase YpdF
EJKBOHLF_00314	CDS	399	spxA_1		COG1393	Regulatory protein Spx
EJKBOHLF_00315	CDS	570				hypothetical protein
EJKBOHLF_00316	CDS	267				hypothetical protein
EJKBOHLF_00317	CDS	420	yrrK	3.1.-.-	COG0816	Putative pre-16S rRNA nuclease
EJKBOHLF_00318	CDS	306				hypothetical protein
EJKBOHLF_00319	CDS	387				hypothetical protein
EJKBOHLF_00320	CDS	1251	fpgS_1	6.3.2.17		Folylpolyglutamate synthase
EJKBOHLF_00321	CDS	444				hypothetical protein
EJKBOHLF_00322	CDS	1533	cls	2.7.8.-		Cardiolipin synthase
EJKBOHLF_00323	CDS	144				hypothetical protein
EJKBOHLF_00324	CDS	1539				hypothetical protein
EJKBOHLF_00325	CDS	2208	nrdD	1.1.98.6	COG1328	Anaerobic ribonucleoside-triphosphate reductase
EJKBOHLF_00326	CDS	507				hypothetical protein
EJKBOHLF_00327	CDS	591				hypothetical protein
EJKBOHLF_00328	CDS	585	udk_1	2.7.1.48		Uridine kinase
EJKBOHLF_00329	CDS	309	rpsJ		COG0051	30S ribosomal protein S10
EJKBOHLF_00330	CDS	627	rplC		COG0087	50S ribosomal protein L3
EJKBOHLF_00331	CDS	624	rplD		COG0088	50S ribosomal protein L4
EJKBOHLF_00332	CDS	297	rplW			50S ribosomal protein L23
EJKBOHLF_00333	CDS	834	rplB		COG0090	50S ribosomal protein L2
EJKBOHLF_00334	CDS	282	rpsS		COG0185	30S ribosomal protein S19
EJKBOHLF_00335	CDS	345	rplV		COG0091	50S ribosomal protein L22
EJKBOHLF_00336	CDS	654	rpsC		COG0092	30S ribosomal protein S3
EJKBOHLF_00337	CDS	414	rplP		COG0197	50S ribosomal protein L16
EJKBOHLF_00338	CDS	207	rpmC		COG0255	50S ribosomal protein L29
EJKBOHLF_00339	CDS	261	rpsQ		COG0186	30S ribosomal protein S17
EJKBOHLF_00340	CDS	369	rplN		COG0093	50S ribosomal protein L14
EJKBOHLF_00341	CDS	306	rplX		COG0198	50S ribosomal protein L24
EJKBOHLF_00342	CDS	543	rplE		COG0094	50S ribosomal protein L5
EJKBOHLF_00343	CDS	270	rpsN2		COG0199	Alternate 30S ribosomal protein S14
