locus_tag	ftype	length_bp	gene	EC_number	COG	product
MCNKEKOJ_00082	CDS	1317	rclA		COG1249	putative pyridine nucleotide-disulfide oxidoreductase RclA
MCNKEKOJ_00083	CDS	1227	yhjX			putative MFS-type transporter YhjX
MCNKEKOJ_00084	CDS	1575	cshA	3.6.4.13	COG0513	ATP-dependent RNA helicase CshA
MCNKEKOJ_00085	CDS	789	codY		COG4465	GTP-sensing transcriptional pleiotropic repressor CodY
MCNKEKOJ_00086	CDS	576				hypothetical protein
MCNKEKOJ_00087	tRNA	86				tRNA-Leu(aag)
MCNKEKOJ_00088	CDS	1131	msmX_1	7.5.2.-	COG3839	Oligosaccharides import ATP-binding protein MsmX
MCNKEKOJ_00089	CDS	759	COQ5_1	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
MCNKEKOJ_00090	CDS	513	apt	2.4.2.7	COG0503	Adenine phosphoribosyltransferase
MCNKEKOJ_00091	CDS	945	metAA	2.3.1.31	COG1897	Homoserine O-acetyltransferase
MCNKEKOJ_00092	CDS	678	dnaD		COG3935	DNA replication protein DnaD
MCNKEKOJ_00093	CDS	759	tpiA	5.3.1.1	COG0149	Triosephosphate isomerase
MCNKEKOJ_00094	CDS	1506				hypothetical protein
MCNKEKOJ_00095	CDS	519	dps	1.16.-.-	COG0783	DNA protection during starvation protein
MCNKEKOJ_00096	CDS	507	dhfR	1.5.1.3	COG0262	Dihydrofolate reductase
MCNKEKOJ_00097	CDS	171				hypothetical protein
MCNKEKOJ_00098	CDS	1233	clpX			ATP-dependent Clp protease ATP-binding subunit ClpX
MCNKEKOJ_00099	CDS	588	engB		COG0218	putative GTP-binding protein EngB
MCNKEKOJ_00100	CDS	381	yabJ	3.5.99.10	COG0251	2-iminobutanoate/2-iminopropanoate deaminase
MCNKEKOJ_00101	CDS	891	yvcJ		COG1660	Nucleotide-binding protein YvcJ
MCNKEKOJ_00102	CDS	978			COG0391	Putative gluconeogenesis factor
MCNKEKOJ_00103	CDS	912	whiA		COG1481	putative cell division protein WhiA
MCNKEKOJ_00104	CDS	1128	xerC_1			Tyrosine recombinase XerC
MCNKEKOJ_00105	CDS	381				hypothetical protein
MCNKEKOJ_00106	CDS	189				hypothetical protein
MCNKEKOJ_00107	CDS	1095				hypothetical protein
MCNKEKOJ_00108	CDS	354				hypothetical protein
MCNKEKOJ_00109	CDS	201				hypothetical protein
MCNKEKOJ_00110	CDS	240				hypothetical protein
MCNKEKOJ_00111	CDS	192				hypothetical protein
MCNKEKOJ_00112	CDS	207				hypothetical protein
MCNKEKOJ_00113	CDS	192				hypothetical protein
MCNKEKOJ_00114	CDS	273				hypothetical protein
MCNKEKOJ_00115	CDS	195				hypothetical protein
MCNKEKOJ_00116	CDS	192				hypothetical protein
MCNKEKOJ_00117	CDS	342				hypothetical protein
MCNKEKOJ_00118	CDS	231				hypothetical protein
MCNKEKOJ_00119	CDS	765				hypothetical protein
MCNKEKOJ_00120	CDS	483				hypothetical protein
MCNKEKOJ_00121	CDS	360				hypothetical protein
MCNKEKOJ_00122	CDS	486				hypothetical protein
MCNKEKOJ_00123	CDS	1194				hypothetical protein
MCNKEKOJ_00124	CDS	318				hypothetical protein
MCNKEKOJ_00125	CDS	777				hypothetical protein
MCNKEKOJ_00126	CDS	504				hypothetical protein
MCNKEKOJ_00127	CDS	822				hypothetical protein
MCNKEKOJ_00128	CDS	1344				hypothetical protein
MCNKEKOJ_00129	CDS	153				hypothetical protein
MCNKEKOJ_00130	CDS	339				hypothetical protein
MCNKEKOJ_00131	CDS	315				hypothetical protein
MCNKEKOJ_00132	CDS	528				hypothetical protein
MCNKEKOJ_00133	CDS	318				hypothetical protein
MCNKEKOJ_00134	CDS	423				hypothetical protein
MCNKEKOJ_00135	CDS	513				hypothetical protein
MCNKEKOJ_00136	CDS	1299				hypothetical protein
MCNKEKOJ_00137	CDS	1470				hypothetical protein
MCNKEKOJ_00138	CDS	1584				hypothetical protein
MCNKEKOJ_00139	CDS	210				hypothetical protein
MCNKEKOJ_00140	CDS	414				hypothetical protein
MCNKEKOJ_00141	CDS	174				hypothetical protein
MCNKEKOJ_00142	CDS	111				hypothetical protein
MCNKEKOJ_00143	CDS	525				hypothetical protein
MCNKEKOJ_00144	CDS	1026				hypothetical protein
MCNKEKOJ_00145	CDS	189				hypothetical protein
MCNKEKOJ_00146	CDS	312				hypothetical protein
MCNKEKOJ_00147	CDS	339				hypothetical protein
MCNKEKOJ_00148	CDS	516				hypothetical protein
MCNKEKOJ_00149	CDS	369				hypothetical protein
MCNKEKOJ_00150	CDS	414				hypothetical protein
MCNKEKOJ_00151	CDS	381				hypothetical protein
MCNKEKOJ_00152	CDS	351				hypothetical protein
MCNKEKOJ_00153	CDS	3594				hypothetical protein
MCNKEKOJ_00154	CDS	351				hypothetical protein
MCNKEKOJ_00155	CDS	6444				hypothetical protein
MCNKEKOJ_00156	CDS	204				hypothetical protein
MCNKEKOJ_00157	CDS	351				hypothetical protein
MCNKEKOJ_00158	CDS	300				hypothetical protein
MCNKEKOJ_00159	CDS	336				hypothetical protein
MCNKEKOJ_00160	CDS	957	lytA_1	3.5.1.28		Autolysin
MCNKEKOJ_00161	CDS	969	yumC	1.18.1.2	COG0492	Ferredoxin--NADP reductase 2
MCNKEKOJ_00162	CDS	858	cdaA	2.7.7.85	COG1624	Cyclic di-AMP synthase CdaA
MCNKEKOJ_00163	CDS	780				hypothetical protein
MCNKEKOJ_00164	CDS	1353	glmM	5.4.2.10	COG1109	Phosphoglucosamine mutase
MCNKEKOJ_00165	CDS	375				hypothetical protein
MCNKEKOJ_00166	CDS	849			COG1307	DegV domain-containing protein
MCNKEKOJ_00167	CDS	768	dapB	1.17.1.8	COG0289	4-hydroxy-tetrahydrodipicolinate reductase
MCNKEKOJ_00168	CDS	1185	cca	2.7.7.72		CCA-adding enzyme
MCNKEKOJ_00169	CDS	1872	ettA		COG0488	Energy-dependent translational throttle protein EttA
MCNKEKOJ_00170	CDS	1185	fieF			Ferrous-iron efflux pump FieF
MCNKEKOJ_00171	CDS	2697		7.2.2.10		Calcium-transporting ATPase 1
MCNKEKOJ_00172	CDS	792	yghU	1.8.4.-	COG0625	Disulfide-bond oxidoreductase YghU
MCNKEKOJ_00173	CDS	411	def_1	3.5.1.88	COG0242	Peptide deformylase
MCNKEKOJ_00174	CDS	1596				hypothetical protein
MCNKEKOJ_00175	CDS	165				hypothetical protein
MCNKEKOJ_00176	CDS	729	yaaA		COG3022	Peroxide stress resistance protein YaaA
MCNKEKOJ_00177	CDS	549				hypothetical protein
MCNKEKOJ_00178	CDS	432				hypothetical protein
MCNKEKOJ_00179	CDS	1188	aspB	2.6.1.14	COG0436	Asparagine--oxo-acid transaminase
MCNKEKOJ_00180	CDS	366				hypothetical protein
MCNKEKOJ_00181	CDS	1344	asnS	6.1.1.22	COG0017	Asparagine--tRNA ligase
MCNKEKOJ_00182	CDS	291	rpsF		COG0360	30S ribosomal protein S6
MCNKEKOJ_00183	CDS	471	ssb_1		COG0629	Single-stranded DNA-binding protein
MCNKEKOJ_00184	CDS	240	rpsR		COG0238	30S ribosomal protein S18
MCNKEKOJ_00185	CDS	1401				Putative bifunctional phosphatase/peptidyl-prolyl cis-trans isomerase
MCNKEKOJ_00186	CDS	360	yugI		COG1098	General stress protein 13
MCNKEKOJ_00187	CDS	750	yfiC	2.1.1.223		tRNA1(Val) (adenine(37)-N6)-methyltransferase
MCNKEKOJ_00188	CDS	300				hypothetical protein
MCNKEKOJ_00189	CDS	936	ppaC	3.6.1.1	COG1227	putative manganese-dependent inorganic pyrophosphatase
MCNKEKOJ_00190	CDS	513				hypothetical protein
MCNKEKOJ_00191	CDS	519				hypothetical protein
MCNKEKOJ_00192	CDS	255				hypothetical protein
MCNKEKOJ_00193	CDS	1446	murE	6.3.2.7	COG0769	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--L-lysine ligase
MCNKEKOJ_00194	CDS	1623	murJ		COG2244	Lipid II flippase MurJ
MCNKEKOJ_00195	CDS	1959	sarA_1		COG4166	Oligopeptide-binding protein SarA
MCNKEKOJ_00196	CDS	1101	bmrA	3.6.3.-	COG1132	Multidrug resistance ABC transporter ATP-binding/permease protein BmrA
MCNKEKOJ_00197	CDS	546	lmrA	7.6.2.2	COG1132	Multidrug resistance ABC transporter ATP-binding and permease protein
MCNKEKOJ_00198	CDS	1095	metI	2.5.1.-	COG0626	Cystathionine gamma-synthase/O-acetylhomoserine (thiol)-lyase
MCNKEKOJ_00199	CDS	1167	patB	4.4.1.13	COG1168	Cystathionine beta-lyase PatB
MCNKEKOJ_00200	CDS	3099	rapA	3.6.4.-		RNA polymerase-associated protein RapA
MCNKEKOJ_00201	CDS	618				hypothetical protein
MCNKEKOJ_00202	CDS	1335	murC	6.3.2.8		UDP-N-acetylmuramate--L-alanine ligase
MCNKEKOJ_00203	CDS	465				hypothetical protein
MCNKEKOJ_00204	CDS	495				hypothetical protein
MCNKEKOJ_00205	CDS	1656	mltG	4.2.2.-		Endolytic murein transglycosylase
MCNKEKOJ_00206	CDS	483	greA			Transcription elongation factor GreA
MCNKEKOJ_00207	CDS	234				hypothetical protein
MCNKEKOJ_00208	CDS	429				hypothetical protein
MCNKEKOJ_00209	CDS	201	atpE		COG0636	ATP synthase subunit c
MCNKEKOJ_00210	CDS	717	atpB		COG0356	ATP synthase subunit a
MCNKEKOJ_00211	CDS	495	atpF		COG0711	ATP synthase subunit b
MCNKEKOJ_00212	CDS	537	atpH		COG0712	ATP synthase subunit delta
MCNKEKOJ_00213	CDS	1506	atpA	7.1.2.2	COG0056	ATP synthase subunit alpha
MCNKEKOJ_00214	CDS	879	atpG		COG0224	ATP synthase gamma chain
MCNKEKOJ_00215	CDS	1407	atpD	7.1.2.2	COG0055	ATP synthase subunit beta
MCNKEKOJ_00216	CDS	420	atpC		COG0355	ATP synthase epsilon chain
MCNKEKOJ_00217	CDS	1014	pgl	3.1.1.31	COG2706	6-phosphogluconolactonase
MCNKEKOJ_00218	CDS	1167			COG0628	Putative transport protein
MCNKEKOJ_00219	CDS	1230	bepA	3.4.-.-		Beta-barrel assembly-enhancing protease
MCNKEKOJ_00220	CDS	642	yecS		COG0765	L-cystine transport system permease protein YecS
MCNKEKOJ_00221	CDS	630	glnQ_1		COG1126	Glutamine transport ATP-binding protein GlnQ
MCNKEKOJ_00222	CDS	837	artP_1		COG0834	Arginine-binding extracellular protein ArtP
MCNKEKOJ_00223	CDS	348				hypothetical protein
MCNKEKOJ_00224	CDS	1719	pgcA	5.4.2.2		Phosphoglucomutase
MCNKEKOJ_00225	CDS	534				IS630 family transposase IS630-Spn1
MCNKEKOJ_00226	CDS	255				hypothetical protein
MCNKEKOJ_00227	CDS	1092				hypothetical protein
MCNKEKOJ_00228	CDS	522				hypothetical protein
MCNKEKOJ_00229	CDS	870	gla		COG0580	Glycerol facilitator-aquaporin gla
MCNKEKOJ_00230	CDS	1197	tuf			Elongation factor Tu
MCNKEKOJ_00231	CDS	267				IS630 family transposase ISSpn2
MCNKEKOJ_00232	CDS	255				hypothetical protein
MCNKEKOJ_00233	CDS	267				IS630 family transposase ISSpn2
MCNKEKOJ_00234	CDS	1083	yfmL	3.6.4.13	COG0513	putative ATP-dependent RNA helicase YfmL
MCNKEKOJ_00235	CDS	978	iolU	1.1.1.371	COG0673	scyllo-inositol 2-dehydrogenase (NADP(+)) IolU
MCNKEKOJ_00236	CDS	378				hypothetical protein
MCNKEKOJ_00237	CDS	1443	pgdA	3.5.1.104	COG0726	Peptidoglycan-N-acetylglucosamine deacetylase
MCNKEKOJ_00238	CDS	843	yvgN	1.1.1.-	COG0656	Glyoxal reductase
MCNKEKOJ_00239	CDS	762				hypothetical protein
MCNKEKOJ_00240	CDS	918	glyQ	6.1.1.14	COG0752	Glycine--tRNA ligase alpha subunit
MCNKEKOJ_00241	CDS	2037	glyS	6.1.1.14	COG0751	Glycine--tRNA ligase beta subunit
MCNKEKOJ_00242	CDS	258				hypothetical protein
MCNKEKOJ_00243	CDS	1245				hypothetical protein
MCNKEKOJ_00244	CDS	606	urdA	1.3.99.33		Urocanate reductase
MCNKEKOJ_00245	CDS	924	apbE	2.7.1.180	COG1477	FAD:protein FMN transferase
MCNKEKOJ_00246	CDS	1380		1.6.99.3		putative NADH oxidase
MCNKEKOJ_00247	CDS	876	pdxS	4.3.3.6	COG0214	Pyridoxal 5'-phosphate synthase subunit PdxS
MCNKEKOJ_00248	CDS	582	pdxT	4.3.3.6		Pyridoxal 5'-phosphate synthase subunit PdxT
MCNKEKOJ_00249	CDS	648				hypothetical protein
MCNKEKOJ_00250	CDS	447				hypothetical protein
MCNKEKOJ_00251	CDS	495				hypothetical protein
MCNKEKOJ_00252	CDS	513	ogt	2.1.1.63		Methylated-DNA--protein-cysteine methyltransferase
MCNKEKOJ_00253	CDS	357	mgsR		COG1393	Regulatory protein MgsR
MCNKEKOJ_00254	CDS	801	yxeN			putative amino-acid permease protein YxeN
MCNKEKOJ_00255	CDS	744	tcyC_1	3.6.3.-	COG1126	L-cystine import ATP-binding protein TcyC
MCNKEKOJ_00256	CDS	225				hypothetical protein
MCNKEKOJ_00257	CDS	912	trxB	1.8.1.9	COG0492	Thioredoxin reductase
MCNKEKOJ_00258	CDS	729		2.1.1.-		Putative TrmH family tRNA/rRNA methyltransferase
MCNKEKOJ_00259	CDS	612	def_2	3.5.1.88	COG0242	Peptide deformylase
MCNKEKOJ_00260	CDS	513	capA			Capsule biosynthesis protein CapA
MCNKEKOJ_00261	CDS	336				hypothetical protein
MCNKEKOJ_00262	CDS	828	ybiV	3.1.3.23	COG0561	Sugar phosphatase YbiV
MCNKEKOJ_00263	CDS	636				hypothetical protein
MCNKEKOJ_00264	CDS	726				hypothetical protein
MCNKEKOJ_00265	CDS	936	yfeW	3.4.16.4	COG1680	Putative D-alanyl-D-alanine carboxypeptidase
MCNKEKOJ_00266	CDS	897	yicL_1		COG0697	putative inner membrane transporter YicL
MCNKEKOJ_00267	CDS	699	nagR		COG2188	HTH-type transcriptional repressor NagR
MCNKEKOJ_00268	CDS	1563	guaA	6.3.5.2		GMP synthase [glutamine-hydrolyzing]
MCNKEKOJ_00269	CDS	186				hypothetical protein
MCNKEKOJ_00270	CDS	324				hypothetical protein
MCNKEKOJ_00271	CDS	306				hypothetical protein
MCNKEKOJ_00272	CDS	357				hypothetical protein
MCNKEKOJ_00273	CDS	159				hypothetical protein
MCNKEKOJ_00274	CDS	1365	ykoD_1	3.6.3.-	COG1122	Putative HMP/thiamine import ATP-binding protein YkoD
MCNKEKOJ_00275	CDS	696				hypothetical protein
MCNKEKOJ_00276	CDS	585				hypothetical protein
MCNKEKOJ_00277	CDS	1722	ndvA	7.5.2.3	COG1132	Beta-(1-->2)glucan export ATP-binding/permease protein NdvA
MCNKEKOJ_00278	CDS	1755	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
MCNKEKOJ_00279	CDS	993	rhaR			HTH-type transcriptional activator RhaR
MCNKEKOJ_00280	CDS	1191				hypothetical protein
MCNKEKOJ_00281	CDS	192				hypothetical protein
MCNKEKOJ_00282	CDS	183				hypothetical protein
MCNKEKOJ_00283	CDS	1287				hypothetical protein
MCNKEKOJ_00284	CDS	726				hypothetical protein
MCNKEKOJ_00285	CDS	720	btuD_2	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
MCNKEKOJ_00286	CDS	729				hypothetical protein
MCNKEKOJ_00287	CDS	210				hypothetical protein
MCNKEKOJ_00288	CDS	489				hypothetical protein
MCNKEKOJ_00289	CDS	1461	pncB2	6.3.4.21	COG1488	Nicotinate phosphoribosyltransferase pncB2
MCNKEKOJ_00290	CDS	825	nadE	6.3.1.5	COG0171	NH(3)-dependent NAD(+) synthetase
MCNKEKOJ_00291	CDS	552				hypothetical protein
MCNKEKOJ_00292	CDS	102				hypothetical protein
MCNKEKOJ_00293	CDS	390				hypothetical protein
MCNKEKOJ_00294	CDS	1029	queA	2.4.99.17	COG0809	S-adenosylmethionine:tRNA ribosyltransferase-isomerase
MCNKEKOJ_00295	CDS	708	nagB	3.5.99.6	COG0363	Glucosamine-6-phosphate deaminase
MCNKEKOJ_00296	CDS	177	rpsU		COG0828	30S ribosomal protein S21
MCNKEKOJ_00297	CDS	936	hprK	2.7.11.-	COG1493	HPr kinase/phosphorylase
MCNKEKOJ_00298	CDS	789	lgt	2.5.1.145	COG0682	Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase
MCNKEKOJ_00299	CDS	384				hypothetical protein
MCNKEKOJ_00300	CDS	390				hypothetical protein
MCNKEKOJ_00301	CDS	1131	hemW		COG0635	Heme chaperone HemW
MCNKEKOJ_00302	CDS	738				hypothetical protein
MCNKEKOJ_00303	CDS	774	yutF	3.1.3.-	COG0647	Acid sugar phosphatase
MCNKEKOJ_00304	CDS	618				hypothetical protein
MCNKEKOJ_00305	CDS	402	spxA_1		COG1393	Regulatory protein Spx
MCNKEKOJ_00306	CDS	279				hypothetical protein
MCNKEKOJ_00307	CDS	774	suhB	3.1.3.11	COG0483	Fructose-1,6-bisphosphatase/inositol-1-monophosphatase
MCNKEKOJ_00308	CDS	1305	rsmF	2.1.1.-	COG0144	Ribosomal RNA small subunit methyltransferase F
MCNKEKOJ_00309	CDS	879	pstS1		COG0226	Phosphate-binding protein PstS 1
MCNKEKOJ_00310	CDS	918	pstC		COG0573	Phosphate transport system permease protein PstC
MCNKEKOJ_00311	CDS	885				hypothetical protein
MCNKEKOJ_00312	CDS	804	pstB3_1	7.3.2.1	COG1117	Phosphate import ATP-binding protein PstB 3
MCNKEKOJ_00313	CDS	759	pstB3_2	7.3.2.1	COG1117	Phosphate import ATP-binding protein PstB 3
MCNKEKOJ_00314	CDS	654	phoU_1		COG0704	Phosphate-specific transport system accessory protein PhoU 
MCNKEKOJ_00315	CDS	816	glnH_1		COG0834	Glutamine-binding periplasmic protein
MCNKEKOJ_00316	CDS	1272	gabR		COG1167	HTH-type transcriptional regulatory protein GabR
MCNKEKOJ_00317	CDS	672	aldC	4.1.1.5	COG3527	Alpha-acetolactate decarboxylase
MCNKEKOJ_00318	CDS	753				hypothetical protein
MCNKEKOJ_00319	CDS	906	murB	1.3.1.98		UDP-N-acetylenolpyruvoylglucosamine reductase
MCNKEKOJ_00320	CDS	1158	potA	7.6.2.11		Spermidine/putrescine import ATP-binding protein PotA
MCNKEKOJ_00321	CDS	807	potB		COG1176	Spermidine/putrescine transport system permease protein PotB
MCNKEKOJ_00322	CDS	774	ydcV			Inner membrane ABC transporter permease protein YdcV
MCNKEKOJ_00323	CDS	1071	potD		COG0687	Spermidine/putrescine-binding periplasmic protein
MCNKEKOJ_00324	CDS	486				hypothetical protein
MCNKEKOJ_00325	CDS	2619	alaS	6.1.1.7		Alanine--tRNA ligase
MCNKEKOJ_00326	CDS	1455	amyS	3.2.1.1		Alpha-amylase
MCNKEKOJ_00327	CDS	750	ecsA_1		COG1131	ABC-type transporter ATP-binding protein EcsA
MCNKEKOJ_00328	CDS	1635				hypothetical protein
MCNKEKOJ_00329	CDS	1164	rlmI	2.1.1.191	COG1092	Ribosomal RNA large subunit methyltransferase I
MCNKEKOJ_00330	CDS	678	aroD	4.2.1.10	COG0710	3-dehydroquinate dehydratase
MCNKEKOJ_00331	CDS	855	aroE	1.1.1.25	COG0169	Shikimate dehydrogenase (NADP(+))
MCNKEKOJ_00332	CDS	1068	aroB	4.2.3.4	COG0337	3-dehydroquinate synthase
MCNKEKOJ_00333	CDS	1167	aroC	4.2.3.5	COG0082	Chorismate synthase
MCNKEKOJ_00334	CDS	1104				hypothetical protein
MCNKEKOJ_00335	CDS	339				hypothetical protein
MCNKEKOJ_00336	CDS	1284	aroA	2.5.1.19	COG0128	3-phosphoshikimate 1-carboxyvinyltransferase
MCNKEKOJ_00337	CDS	477	aroK	2.7.1.71	COG0703	Shikimate kinase
MCNKEKOJ_00338	CDS	849	pheA			Bifunctional chorismate mutase/prephenate dehydratase
MCNKEKOJ_00339	CDS	1275	tagU_1	2.7.8.-		Polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase TagU
MCNKEKOJ_00340	CDS	837				hypothetical protein
MCNKEKOJ_00341	CDS	1104	pglJ	2.4.1.291	COG0438	N-acetylgalactosamine-N,N'-diacetylbacillosaminyl-diphospho-undecaprenol 4-alpha-N-acetylgalactosaminyltransferase
MCNKEKOJ_00342	CDS	987	glyG			Glycosyltransferase GlyG
MCNKEKOJ_00343	CDS	1434				hypothetical protein
MCNKEKOJ_00344	CDS	1035				hypothetical protein
MCNKEKOJ_00345	CDS	738	mecA		COG4862	Adapter protein MecA
MCNKEKOJ_00346	CDS	1287	hom	1.1.1.3	COG0460	Homoserine dehydrogenase
MCNKEKOJ_00347	CDS	870	thrB	2.7.1.39	COG0083	Homoserine kinase
MCNKEKOJ_00348	CDS	939	msrAB1		COG0225	Peptide methionine sulfoxide reductase MsrA/MsrB 1
